@relation .a/eda_smooth_ml/eda_smooth_ml
@attribute Sound real [46.22267342, 79.2527832]
@attribute Dust real [0.02916129, 0.39787096]
@attribute TempEN real [10.521, 26.891]
@attribute RH real [17.24, 60.8856]
@attribute Light real [287.76, 32280.1]
@attribute EDA_label {LOW, NORM, HIGH}
@data
60.41754395,0.044967742,16.7678,38.0428,2529.92,NORM
63.41025581,0.04451613,12.9968,45.8778,2622.92,NORM
59.54453659,0.04083871,15.9006,36.5898,806.52,LOW
64.60683924,0.050795698,12.92,43.366,308.28,LOW
59.52766457,0.038387097,16.0436,39.6966,3696.7,NORM
61.98717995,0.045483871,14.6442,43.4694,4004.18,NORM
66.94349848,0.03944086,18.0714,49.4204,14631.48,LOW
63.20512886,0.067354839,16.677,54.156,3168.48,LOW
60.46153755,0.040103225,21.3992,34.4766,1624.84,LOW
63.32051392,0.049096774,17.344,43.2292,2875.2,NORM
58.55263138,0.101935481,16.963,36.5152,1336.32,LOW
60.99999924,0.043741936,20.5262,31.8982,964.18,NORM
65.90476151,0.04096774,13.3338,49.7006,1861.38,NORM
67.28651047,0.071999999,25.5496,29.736,7518.74,LOW
61.32258606,0.066322581,19.103,28.426,4135.02,NORM
54.83881569,0.048516129,18.8326,28.3372,3564.26,NORM
55.12038854,0.054709677,17.3534,30.3434,3442.84,NORM
60.58974304,0.063827959,16.8726,32.0762,2279.18,NORM
57.13157959,0.050451611,16.9392,31.3648,2971.4,NORM
