@relation .a/eda_smooth_ml/eda_smooth_ml
@attribute Sound real [46.22267342, 79.2527832]
@attribute Dust real [0.02916129, 0.39787096]
@attribute TempEN real [10.521, 26.891]
@attribute RH real [17.24, 60.8856]
@attribute Light real [287.76, 32280.1]
@attribute EDA_label {LOW, NORM, HIGH}
@data
63.96153717,0.048838708,12.9056,43.8914,519.54,LOW
62.51608429,0.042967742,15.1126,44.2126,4094.04,NORM
64.16849594,0.049870968,12.8614,46.2156,1836.12,NORM
62.28718079,0.036258065,16.677,54.0698,3797.62,LOW
61.41925189,0.065634407,21.2134,34.6504,1500.28,LOW
63.06410255,0.113483869,17.3724,34.516,2299.7,LOW
61.68375982,0.044068818,19.8788,32.643,1631.14,NORM
62.26923065,0.062903225,25.1422,30.7566,4083.0,LOW
59.95681419,0.049956987,25.9874,29.636,10700.62,LOW
63.19230881,0.118193546,16.9294,32.088,2837.38,NORM
62.21520042,0.048709676,19.0608,27.264,4551.28,NORM
