@relation .a/eda_raw_ml/eda_raw_ml
@attribute Sound real [46.22267342, 79.2527832]
@attribute Dust real [0.02916129, 0.39787096]
@attribute TempEN real [10.521, 26.891]
@attribute RH real [17.24, 60.8856]
@attribute Light real [287.76, 32280.1]
@attribute EDA_level {HIGH, NORM, LOW}
@inputs Sound, Dust, TempEN, RH, Light
@outputs EDA_level
@data
56.68420944, 0.029290322, 11.0242, 54.9254, 4680.6, NORM
55.44736862, 0.031419353, 10.868, 55.0582, 3300.94, NORM
61.41025696, 0.04832258, 10.761, 56.251, 4144.48, NORM
65.67948837, 0.032903225, 10.7802, 55.4824, 2656.02, HIGH
63.21886406, 0.037548387, 10.7658, 55.654, 2673.38, LOW
61.7606837, 0.034559139, 10.761, 55.881, 1894.48, LOW
57.89473763, 0.033419355, 10.7264, 56.0544, 2725.4, LOW
69.08075119, 0.038086022, 10.663, 57.047, 2146.76, NORM
61.74359055, 0.035806452, 10.648, 57.1102, 2108.88, NORM
62.42600098, 0.036215054, 10.6822, 56.8056, 1896.06, LOW
61.83333321, 0.03348387, 10.5894, 56.702, 4146.06, NORM
67.86935349, 0.049612903, 10.541, 57.0756, 2099.44, LOW
62.04273554, 0.040688173, 14.8832, 44.714, 4276.94, HIGH
60.52911186, 0.035806452, 15.2608, 44.6652, 4483.5, LOW
60.35087662, 0.037978494, 14.6778, 45.3358, 5760.66, NORM
55.8702774, 0.036774194, 13.9156, 45.4112, 4043.58, NORM
52.85416667, 0.03395699, 13.57, 46.1674, 3089.64, NORM
58.73481827, 0.036193548, 13.4154, 46.8084, 3234.7, NORM
61.40598335, 0.033139784, 12.703, 48.0558, 6213.18, NORM
54.76644707, 0.055096774, 17.8574, 33.9134, 2096.28, LOW
55.65263153, 0.037367741, 17.4626, 34.42, 2048.98, HIGH
60.45794017, 0.039655912, 16.525, 37.5072, 2681.28, NORM
61.66666565, 0.057419357, 16.4918, 37.4386, 2870.48, NORM
59.88866386, 0.061935484, 13.6372, 45.4144, 4760.98, NORM
61.21255226, 0.04980645, 13.5796, 44.9756, 4327.38, NORM
59.94691747, 0.03776344, 13.4778, 45.3448, 2767.98, NORM
61.84345462, 0.053440859, 13.4922, 45.09, 2816.86, NORM
54.4078949, 0.068000001, 13.497, 44.9468, 3209.48, NORM
59.11403503, 0.043741935, 13.4394, 45.3086, 4991.2, HIGH
58.00000076, 0.042967741, 13.4586, 45.1546, 3646.24, NORM
58.78677483, 0.045935483, 13.401, 44.8538, 3510.64, NORM
54.70805883, 0.045290322, 13.3578, 44.9108, 4105.08, NORM
56.86842155, 0.044258063, 13.3674, 45.3746, 3446.0, NORM
59.53351313, 0.048903225, 13.0976, 45.098, 5301.84, LOW
62.20342662, 0.05204301, 13.016, 45.7492, 2373.8, NORM
63.37606964, 0.074795698, 13.0016, 46.4014, 3411.32, NORM
61.94871788, 0.048129031, 13.04, 45.7398, 1596.46, HIGH
61.52106285, 0.093483869, 12.5042, 47.1208, 2512.54, NORM
58.9210537, 0.042580645, 12.3448, 47.5394, 2621.36, NORM
55.6315801, 0.041892472, 16.077, 38.3442, 2586.64, NORM
59.23616689, 0.088903225, 15.9768, 38.855, 2775.86, NORM
58.12280629, 0.036929033, 15.6288, 38.9912, 3110.14, NORM
56.63157921, 0.036193549, 15.1894, 39.815, 4418.82, NORM
61.02609049, 0.036688173, 15.055, 40.5348, 3472.82, NORM
59.05667953, 0.046322581, 14.29, 42.9416, 3133.78, NORM
57.69230728, 0.03967742, 13.8532, 44.1934, 1337.86, NORM
58.31578865, 0.065870965, 13.209, 46.0666, 4461.4, NORM
56.21685257, 0.050709676, 13.281, 45.8194, 4453.54, NORM
59.3117396, 0.033333335, 13.2762, 45.7692, 3983.66, NORM
57.13157883, 0.036774193, 13.257, 45.7482, 4368.4, NORM
56.21052704, 0.043741938, 13.233, 45.5892, 4273.78, NORM
57.07017644, 0.04404301, 13.0784, 46.4796, 3245.76, NORM
55.2815802, 0.033806451, 12.7028, 46.9408, 3736.12, NORM
61.48448181, 0.031935484, 12.775, 46.3478, 5014.86, NORM
59.89014801, 0.036258065, 12.6444, 46.7724, 2922.52, NORM
61.76743317, 0.038623656, 12.63, 46.783, 2310.74, NORM
56.86842079, 0.036709676, 12.582, 47.3906, 3447.58, NORM
58.19298248, 0.033462364, 12.524, 47.55, 2583.52, NORM
58.71862297, 0.038451614, 12.2968, 48.6196, 2260.28, NORM
58.97211024, 0.06976344, 12.3592, 48.2086, 2107.32, NORM
55.95789642, 0.036688172, 12.374, 47.735, 2913.04, LOW
60.70107918, 0.033612905, 12.384, 47.538, 2438.44, NORM
58.47368469, 0.034580645, 12.3592, 47.7208, 3769.22, NORM
61.47493858, 0.030967741, 12.3838, 47.3776, 4278.52, NORM
60.84345627, 0.029987095, 12.34, 47.4212, 3329.32, NORM
60.90620995, 0.029496773, 12.316, 47.5294, 3406.56, NORM
65.89743652, 0.034580644, 12.413, 47.5544, 1665.82, NORM
60.05735512, 0.098645157, 12.4466, 47.2056, 3482.26, NORM
62.17476463, 0.033096774, 12.4034, 47.256, 4366.8, NORM
65.16971995, 0.031268816, 12.2968, 45.6226, 3226.82, NORM
62.70939992, 0.033569892, 12.2676, 45.712, 3912.7, NORM
57.88056679, 0.032064517, 12.2382, 45.7952, 3409.72, NORM
60.24066569, 0.031096774, 12.142, 46.6832, 2411.64, LOW
61.44444427, 0.071827955, 15.5906, 59.6808, 32280.1, NORM
