@relation esum_filtered_keel_nom
@attribute Sound real [46.22267342, 79.2527832]
@attribute Dust real [0.02916129, 0.39787096]
@attribute TempEN real [10.521, 26.891]
@attribute RH real [17.24, 60.8856]
@attribute Light real [287.76, 32280.1]
@attribute Area real [1274.667603, 36208.28889]
@attribute Perimeter real [205.8863296, 2834.509892]
@attribute Occlusivity real [84.20423509, 2375.982044]
@attribute Compactness real [0.022584873, 0.402656985]
@attribute EDA_label {AROSAL, NORM}
@data
64.26800995,0.038967743,13.064,46.31,2788.5,4334.779327,544.9933154,328.0388132,0.183397963,NORM
61.52564087,0.038967741,15.1126,37.6644,363.44,8387.737534,1057.194872,621.3354386,0.094307146,AROSAL
61.9487175,0.059612901,13.117,43.2952,576.32,4162.454361,528.5142436,332.9788452,0.187260404,AROSAL
57.81578941,0.058838711,12.509,49.6448,4131.86,4417.621124,586.5790095,395.1899173,0.161341204,NORM
59.01349513,0.037161289,11.399,53.692,3729.8,1873.197845,443.0643946,156.0443855,0.119911217,NORM
57.71052704,0.033290324,10.712,56.4822,2656.02,4667.278122,648.5515429,395.0431448,0.139439094,AROSAL
60.49864998,0.037548387,13.3386,46.8484,3291.46,12775.35063,1692.20196,998.6417822,0.056063255,NORM
59.34547882,0.060516128,12.5386,46.97,3006.08,4868.130966,694.1605692,446.2188299,0.126955709,NORM
58.52631683,0.052516129,12.534,47.205,820.7,2755.356079,343.3419087,158.0231052,0.293720299,NORM
60.70107918,0.033612905,12.384,47.538,2438.44,4234.364548,533.4354455,333.9301931,0.186996883,NORM
58.47368469,0.034580645,12.3592,47.7208,3769.22,4290.720551,634.6678809,358.8330091,0.133858839,NORM
62.19230843,0.046258065,17.0486,55.3424,5415.36,4339.479675,566.4784526,370.659957,0.169934177,AROSAL
64.0897438,0.042387095,16.4198,54.9258,3286.72,3410.305161,373.6571132,182.714175,0.306942197,AROSAL
62.83333359,0.048580645,17.106,52.7414,2580.34,9432.126877,1044.663553,702.7801449,0.108609199,AROSAL
52.890625,0.065741934,22.6378,31.2892,1323.68,3213.005905,457.0934083,233.3532041,0.193246426,AROSAL
54.50657845,0.044387095,20.5886,34.7758,2160.94,4042.222351,363.5939909,185.7937327,0.384234776,AROSAL
61.41925189,0.065634407,21.2134,34.6504,1500.28,10149.35245,1214.757474,858.4839692,0.086430901,AROSAL
56.98947403,0.04948387,21.4706,35.434,2640.28,4718.566208,568.6947863,297.8493775,0.183341772,AROSAL
65.25091629,0.047096773,21.8142,34.8662,6025.56,17981.47408,1597.57397,858.1502055,0.088534636,AROSAL
59.61943309,0.040258065,17.8054,41.1026,1173.88,2777.109253,406.9191399,217.3479957,0.210759225,NORM
60.32388585,0.040215053,16.7682,44.9174,1738.38,5851.256027,821.5335156,634.2568582,0.108945274,NORM
63.85714416,0.040451612,15.6002,48.4032,8204.64,9209.96814,1115.047044,899.0563862,0.093085409,NORM
55.21184265,0.09729032,18.1048,33.5098,2421.1,3893.842102,372.0529997,195.1051253,0.353491178,AROSAL
61.23684196,0.130387097,16.6202,38.4788,3241.02,7925.186264,1054.988342,637.5719884,0.089479597,AROSAL
52.71546049,0.13187097,16.8632,38.5174,3871.72,1274.667603,341.5337946,186.6845355,0.137321787,AROSAL
63.30769234,0.095032256,19.0322,34.017,16296.54,7076.028961,863.7342042,524.686098,0.119189838,AROSAL
60.6646431,0.08303226,19.2366,33.99,17215.76,6685.361542,820.1311756,522.0195733,0.124901634,AROSAL
62.42734934,0.045316129,20.4456,31.8314,893.22,3047.412354,437.2078671,231.8402919,0.200338839,NORM
62.20879059,0.042752687,19.0128,34.0676,1058.78,8651.739807,1056.100442,664.7493103,0.097477159,NORM
67.69963557,0.043483872,20.198,32.367,3874.88,16523.87279,1552.580081,913.1134234,0.086141749,NORM
53.31730769,0.043870969,21.843,29.8148,1929.16,3984.659546,495.5549768,293.4887624,0.203900082,AROSAL
67.93864517,0.046709676,21.4178,30.4818,5208.8,4507.358246,606.2995828,362.2916962,0.15408395,AROSAL
