@relation esum_filtered_keel_nom
@attribute Sound real [46.22267342, 79.2527832]
@attribute Dust real [0.02916129, 0.39787096]
@attribute TempEN real [10.521, 26.891]
@attribute RH real [17.24, 60.8856]
@attribute Light real [287.76, 32280.1]
@attribute Area real [1274.667603, 36208.28889]
@attribute Perimeter real [205.8863296, 2834.509892]
@attribute Occlusivity real [84.20423509, 2375.982044]
@attribute Compactness real [0.022584873, 0.402656985]
@attribute EDA_label {AROSAL, NORM}
@data
62.12820587,0.043716128,19.9692,31.358,1604.36,2819.8246,409.6901478,229.0161324,0.211115888,NORM
56.73684158,0.043354839,18.1952,34.3846,4054.6,3248.054214,601.6277208,343.3265785,0.112765813,NORM
57.89473686,0.04767742,14.1412,43.24,3753.46,8796.603455,1069.331132,820.9213937,0.096671945,NORM
60.93589783,0.04148387,13.1466,45.2912,1686.36,1615.315674,265.2694879,88.72415192,0.288464699,NORM
60.1201088,0.066322579,15.103,37.5668,379.2,8370.078094,1048.888554,808.3228238,0.095605017,AROSAL
65.56501846,0.048580645,18.2614,49.9648,19182.0,3524.880325,585.8220414,356.8207337,0.129069261,AROSAL
62.40170975,0.046107525,16.2722,56.3414,4130.3,1599.528732,281.0186143,150.7790373,0.254525755,AROSAL
57.15789566,0.038193548,16.701,53.9384,2569.32,9441.705139,1046.023229,686.5131999,0.108437036,AROSAL
61.51282145,0.057204299,20.913,35.2156,1465.6,8280.027023,1041.064834,772.0021124,0.096003278,AROSAL
57.61403427,0.063827954,21.2038,34.6364,2249.22,1743.673645,240.4385509,126.0600254,0.379024134,AROSAL
60.45074158,0.042193549,21.2748,32.603,1604.34,9447.332275,1044.647468,706.0284778,0.108787637,AROSAL
61.77617111,0.042709679,17.5436,41.906,5669.2,10646.50931,1819.725462,1035.848527,0.040402232,NORM
60.93589745,0.042967741,17.5388,41.7454,2097.84,9064.394089,1605.017444,1034.0842,0.044216985,NORM
59.62078247,0.127161291,20.222,29.767,1686.34,2967.921295,427.9753244,232.8389317,0.20362204,AROSAL
56.42105331,0.105870966,18.9512,31.839,1698.94,3056.566681,578.2399095,383.9972726,0.114875552,AROSAL
60.6457489,0.192580641,17.5676,35.8924,6063.38,9537.968124,1047.806681,687.5577292,0.109170024,AROSAL
58.14844742,0.051419354,21.0412,30.27,7280.68,4600.112015,392.3431801,177.7853186,0.375531226,NORM
58.57219963,0.045419354,20.455,30.954,3111.7,8732.76442,1079.859067,809.5463884,0.094108196,NORM
61.85897522,0.047354838,18.9034,33.6434,1137.62,8370.078094,1048.888554,808.3228238,0.095605017,NORM
66.22222265,0.058086021,18.9274,33.0062,998.88,8796.603455,1069.331132,820.9213937,0.096671945,NORM
61.11965739,0.041720429,13.1802,49.8952,1517.62,9524.54039,1048.092115,691.1927343,0.108956962,NORM
62.09249001,0.045677419,18.4472,40.2088,3769.22,15351.65564,1528.336956,858.3512376,0.082589884,AROSAL
62.55128288,0.047935483,22.5466,34.399,2301.3,3598.525238,455.0248871,287.8491533,0.218405774,AROSAL
57.44736824,0.046838708,22.7528,35.2736,3565.82,8650.410263,1059.449695,800.9415447,0.096846937,AROSAL
59.908402,0.044140763,22.4842,35.7632,1774.64,1471.960663,342.168934,172.1238536,0.157988296,AROSAL
64.43956146,0.044709676,23.5738,33.2294,1937.02,4275.976349,538.3978222,320.9647876,0.185369624,AROSAL
60.47143606,0.045677419,23.1888,33.9672,2514.14,3898.289291,491.0186741,310.2103209,0.203183254,AROSAL
66.8791214,0.050516128,25.4914,30.6306,6604.22,9522.91716,1048.199109,686.2211806,0.108916154,AROSAL
66.58333282,0.051432257,25.5496,30.054,6014.54,9838.690094,1052.385247,800.403158,0.111634297,AROSAL
