@relation .a/eda_raw_ml/eda_raw_ml
@attribute Sound real [46.22267342, 79.2527832]
@attribute Dust real [0.02916129, 0.39787096]
@attribute TempEN real [10.521, 26.891]
@attribute RH real [17.24, 60.8856]
@attribute Light real [287.76, 32280.1]
@attribute EDA_level {HIGH, NORM, LOW}
@data
59.68826027,0.052451611,14.1124,43.2422,1388.34,NORM
60.18803329,0.048516127,13.6468,42.052,558.96,HIGH
55.68421021,0.051032258,16.7346,36.4012,2780.62,NORM
61.66540614,0.05045161,12.3208,47.32,3892.2,NORM
53.29166667,0.037634409,17.344,54.2708,3622.58,LOW
66.11355286,0.04,16.4582,53.9768,7074.1,HIGH
61.23366013,0.049677418,20.984,34.4044,923.2,HIGH
58.80701701,0.055638707,21.2322,34.7514,1486.08,HIGH
61.83333397,0.055032259,16.887,44.432,4907.66,NORM
55.36842155,0.061096772,16.4058,47.3204,1014.64,NORM
54.01315765,0.119612904,17.7148,34.8688,694.54,LOW
58.81578979,0.044541936,19.722,32.847,1260.62,NORM
61.46918589,0.0452043,20.2314,32.1314,1698.96,NORM
61.66666565,0.045359139,23.3184,26.229,901.12,NORM
59.5985157,0.043806453,20.6884,30.0798,1892.88,NORM
66.12698466,0.043440862,19.008,33.4354,1052.48,NORM
65.63003731,0.051677418,22.848,34.6064,5125.22,HIGH
63.878545,0.05877419,25.9828,29.0314,8857.4,LOW
64.77014694,0.088451608,19.013,28.8196,6679.9,NORM
62.99865074,0.052258065,21.2036,25.3542,5287.64,NORM
