,participant,X,Y,Sound,Dust,TempEN,RH,Light,EDA_peaks,EDA_phase,EDA_label
37,36,681460.3688,247282.0545,61.07584366,0.082658063,19.32636,28.52128,4556.02,0,0.004496993,0
38,36,681437.003,247246.2815,58.39109283,0.107845158,19.465,27.91636,8954.84,0,0.004422552,0
39,36,681435.3806,247230.5811,60.8724118,0.096516127,19.72012,27.52844,8552.136,0,0.005425075,0
40,36,681424.4085,247235.6379,63.68178192,0.105729031,19.89312,27.29476,7468.288,0,0.005425075,0
41,36,681406.2533,247248.5463,57.96066147,0.092696773,20.23316,27.20948,7648.98,0,0.003824315,0
42,36,681402.3547,247247.3252,63.95989014,0.116748386,20.49108,26.7832,8469.844,0,0.006234644,0
43,36,681393.2288,247269.216,64.95860901,0.095251612,20.56732,26.45832,6499.524,0,0.005552542,0
44,36,681373.308,247292.4412,60.40113754,0.100696773,20.97356,26.10488,5771.084,0,0.005541184,0
45,36,681373.0475,247305.0024,62.73529999,0.100103225,21.14812,25.76056,4943.596,0,0.004764329,0
46,36,681356.8022,247296.1805,62.2984581,0.087277419,21.10612,25.7426,4049.884,0,0.005532926,0
47,36,681328.8779,247276.9687,59.97489944,0.096051611,20.94408,26.06228,5143.52,0,0.004185993,0
48,36,681315.8291,247264.5585,62.09358063,0.06544516,20.99936,26.23008,4896.288,0,0.004487044,0
49,36,681308.052,247256.0568,62.55405899,0.102451612,20.82292,26.36424,5347.548,0,0.004769364,0
50,36,681280.5717,247232.904,62.43589783,0.083767741,20.44936,26.7786,4032.86,0,0.005165277,0
51,36,681251.8061,247214.4038,61.49068787,0.101780644,20.0512,27.3378,3143.576,0,0.004968682,0
52,36,681236.7558,247196.4437,63.3073262,0.117677418,20.28936,27.05744,3687.548,0,0.004054672,0
53,36,681241.566,247185.3534,65.69683716,0.150374194,20.17688,27.0596,8079.428,0,0.004054672,0
54,36,681272.6821,247182.092,67.34513824,0.147483869,20.43504,27.00404,5723.456,0,0.003317641,0
55,36,681284.9841,247167.2682,65.32204895,0.074503225,20.63984,26.35852,4264.648,0,0.004777838,0
56,36,681285.4703,247148.3351,67.96666656,0.106967743,20.85924,26.3074,9916.98,0,0.005473947,0
57,36,681318.3189,247183.0886,67.51103882,0.085109676,21.10608,26.41912,12692.376,0,0.00484886,0
58,36,681353.8806,247193.4912,65.82564087,0.097806452,21.2464,25.90312,9266.408,0,0.00489123,0
59,36,681389.0665,247190.9164,65.45750824,0.12167742,21.49276,25.3396,9553.708,0,0.004718611,0
60,36,681412.81,247202.4266,61.04208801,0.082632256,21.84236,25.13256,9044.412,0,0.005286524,0
61,36,681415.2191,247206.2309,65.32317276,0.098038709,22.10316,24.64896,9736.6,0,0.004028494,0
62,36,681426.0979,247234.5492,64.78388184,0.085703225,21.9044,24.38584,7214.74,0,0.004763153,0
0,37,681409.7382,247327.5594,58.91958664,0.058451613,22.18232,21.03636,1321.324,0,0.005023753,0
1,37,681409.7382,247327.5594,58.91958664,0.058451613,22.18232,21.03636,1321.324,2,0.025759837,1
2,37,681409.7382,247327.5594,58.91958664,0.058451613,22.18232,21.03636,1321.324,16,0.283121263,1
3,37,681409.7382,247327.5594,58.91958664,0.058451613,22.18232,21.03636,1321.324,0,0.00833015,0
4,37,681392.3038,247357.6756,58.57031036,0.080283871,22.17988,23.54892,1328.092,0,0.006944323,0
5,37,681377.1017,247375.5912,57.45708481,0.064283871,22.03624,24.1756,1159.7,0,0.007143286,0
6,37,681377.3438,247376.2988,56.14048584,0.079716129,22.04388,23.83376,1264.712,2,0.169181796,1
7,37,681372.1353,247387.05,60.8315419,0.060361288,21.55376,24.52844,2838.64,3,0.152005746,1
8,37,681350.4301,247416.4961,60.32250015,0.065806451,21.53584,24.54764,2089.348,0,0.026340386,0
9,37,681331.8871,247440.2778,59.34979736,0.085832259,20.79996,25.34632,1235.7,5,0.15533055,1
10,37,681314.4285,247463.0366,58.6879895,0.056877419,20.49892,25.73188,5093.056,27,0.484324495,1
11,37,681299.534,247492.5207,63.33850052,0.072825807,20.23704,25.73424,6717.444,9,0.389688836,1
12,37,681292.9075,247520.3947,57.38947372,0.070735483,20.3046,25.93248,1407.888,0,0.015385702,0
13,37,681287.2621,247540.9991,55.00000061,0.061496773,20.43604,25.7718,1164.436,0,0.02403781,0
14,37,681274.5536,247561.655,52.85,0.068645162,20.06068,26.01688,1086.532,0,0.02403781,0
15,37,681274.0059,247563.0373,54.04078964,0.063225806,19.67996,26.81684,2169.12,1,0.060023266,1
16,37,681273.611,247567.9615,63.38300674,0.058503225,19.68384,28.53476,6750.228,0,0.011896812,0
17,37,681303.8461,247579.2359,59.80277603,0.069445159,19.71056,26.9108,1066.668,0,0.019738436,0
18,37,681324.5686,247586.4883,56.30344116,0.062735482,19.82384,26.41876,718.528,14,0.492197609,1
19,37,681323.4889,247596.3696,56.2280365,0.085032258,19.7124,26.89208,1002.028,26,0.492197609,1
20,37,681335.1745,247583.2981,59.83750793,0.059690322,19.48308,26.78872,4175.712,15,0.35620955,1
21,37,681351.7875,247555.1719,58.81846954,0.070451614,19.56848,26.74544,3281.692,2,0.385289944,1
22,37,681375.3102,247540.9471,56.03157913,0.051354838,19.4992,27.31908,1417.348,28,0.422322169,1
23,37,681397.7126,247518.4602,57.28223434,0.077212902,19.353,28.06956,2899.164,34,0.47057468,1
24,37,681418.0444,247479.0066,63.64017776,0.061780644,19.29852,28.18044,11087.244,36,0.513922238,1
25,37,681441.7181,247473.068,61.99570053,0.06356129,19.05776,27.6714,1788.512,29,0.333933712,1
26,37,681464.208,247457.9954,60.68158829,0.077574192,19.22344,27.70436,2892.548,7,0.055807072,1
27,37,681465.2865,247459.2148,55.56177933,0.121419355,19.42024,27.35752,2457.996,6,0.045727794,1
28,37,681465.2173,247456.9159,63.13587799,0.067148386,19.54868,27.22112,3451.672,0,0.01902261,0
29,37,681466.721,247432.6966,58.79433166,0.065470966,19.3774,26.88148,1570.6,0,0.00890914,0
30,37,681475.4868,247415.9343,59.02051315,0.091716129,19.49264,26.7168,1100.72,0,0.008440296,0
31,37,681478.2632,247414.527,62.58947128,0.071199999,19.53064,26.49484,4839.52,1,0.051374875,1
32,37,681489.1788,247400.7409,62.31130936,0.055509677,19.51184,26.538,3061.26,0,0.029518134,0
33,37,681506.9686,247377.7648,58.56548614,0.066245161,19.39548,26.80092,1547.592,0,0.01102529,0
34,37,681510.6967,247377.6492,55.05040482,0.065677418,18.84004,27.29224,1525.504,0,0.00812016,0
35,37,681515.5007,247381.6812,63.10846451,0.071380644,18.82388,28.12544,2198.148,8,0.084230513,1
36,37,681524.7989,247359.1814,59.47920792,0.06283871,19.12064,27.77268,3322.38,2,0.049181625,1
37,37,681518.6221,247334.1337,61.78203171,0.062890322,19.03012,28.0884,4237.844,0,0.009772282,0
38,37,681493.4007,247307.916,55.51015488,0.071767742,19.18236,28.01056,3420.14,0,0.009772282,0
39,37,681487.6282,247306.558,56.22214142,0.052851612,19.27656,27.891,3443.472,3,0.117048201,1
40,37,681479.0549,247298.3045,59.11335999,0.073599999,19.36692,28.30104,3204.76,0,0.025039588,0
41,37,681457.6896,247274.5492,59.82769867,0.057574192,19.31104,27.4738,1515.416,0,0.023627592,0
42,37,681442.5935,247249.898,58.88556061,0.064954839,19.30532,27.28956,5679.624,11,0.064876643,1
43,37,681429.6411,247224.9797,61.68205154,0.056309677,19.50488,26.90988,6898.756,7,0.02868215,1
44,37,681425.0485,247220.2094,64.58065964,0.062787096,19.61452,26.60748,5739.528,2,0.058094034,1
45,37,681422.0473,247231.5654,61.43925201,0.086580645,19.46872,26.57636,1236.652,9,1.016287013,1
46,37,681404.0367,247251.3513,57.60593781,0.059303225,19.50896,26.63976,895.116,0,0.010160534,0
47,37,681400.5888,247248.8503,59.12820511,0.054399999,19.50512,26.742,1112.724,0,0.010160534,0
48,37,681397.1888,247261.3758,61.26396774,0.058296773,19.32976,27.04436,1187.768,22,0.963961279,1
49,37,681382.6144,247285.8233,62.27071671,0.074451613,19.26332,27.36684,5738.904,6,1.0477213,1
50,37,681365.2298,247294.8878,61.37948669,0.063303225,19.17868,27.56552,5531.404,0,0.009369366,0
51,37,681340.7096,247282.6536,60.6639679,0.055303225,19.32044,27.3162,5520.044,0,0.008229594,0
52,37,681317.8711,247263.4561,61.39151764,0.054709678,19.30136,27.23808,4506.204,0,0.009505666,0
53,37,681317.1249,247265.54,60.12589081,0.091277422,19.28152,27.36952,4679.956,0,0.011655737,0
54,37,681301.1805,247251.2925,62.28108688,0.086709677,19.16716,27.58616,5514.692,0,0.014721875,0
55,37,681278.2019,247229.4431,62.55851135,0.058890321,19.17212,27.80224,4813.348,0,0.014721875,0
56,37,681252.2207,247210.7957,61.87146713,0.065651611,19.22604,27.66044,3657.908,0,0.011266163,0
57,37,681240.1671,247189.1333,62.12463882,0.064593548,19.29476,27.3036,1524.244,0,0.016306047,0
58,37,681238.6384,247191.3547,64.43991943,0.077264516,19.32788,27.133,9018.532,4,1.409365593,1
59,37,681251.855,247180.5278,63.77414703,0.053187096,19.545,27.38592,12610.072,0,0.013318747,0
60,37,681284.5654,247177.6034,61.58322769,0.051174194,19.78856,26.5534,3787.2,0,0.009993152,0
61,37,681290.3706,247176.5896,59.26612732,0.06508387,19.87416,26.29448,10047.212,0,0.018439977,0
62,37,681303.3362,247176.7304,63.56401016,0.064129032,20.22168,26.35704,19894.668,0,0.009970116,0
63,37,681335.4547,247190.3473,63.14296661,0.06756129,20.7,25.9276,16574.664,0,0.00767332,0
