,participant,X,Y,Sound,Dust,TempEN,RH,Light,EDA_peaks,EDA_phase,EDA_label
0,10,681420.3583,247335.2849,60.89871807,0.050129032,17.46225,32.24075,1617.945,18,3.54277511,1
1,10,681420.3583,247335.2849,60.89871807,0.050129032,17.46225,32.24075,1617.945,7,0.249393207,1
2,10,681420.3583,247335.2849,60.89871807,0.050129032,17.46225,32.24075,1617.945,0,0.03062595,0
3,10,681420.3583,247335.2849,60.89871807,0.050129032,17.46225,32.24075,1617.945,0,0.036162111,0
4,10,681420.3583,247335.2849,60.89871807,0.050129032,17.46225,32.24075,1617.945,0,0.028323827,0
5,10,681420.3583,247335.2849,60.89871807,0.050129032,17.46225,32.24075,1617.945,0,0.035875341,0
6,10,681420.3583,247335.2849,60.89871807,0.050129032,17.46225,32.24075,1617.945,0,0.028949552,0
7,10,681418.5629,247338.596,60.71187515,0.048258063,18.21405,34.0568,1683.19,11,1.172225396,1
8,10,681400.8616,247368.8938,59.42375183,0.062,18.05725,33.9109,1923.625,21,3.017127862,1
9,10,681390.0231,247383.4965,55.43256588,0.043354838,17.5482,34.37335,2120.725,4,0.105325047,1
10,10,681386.5286,247387.6924,56.45888157,0.046999999,16.7465,36.5091,2788.88,0,0.028468663,0
11,10,681379.4774,247395.1196,60.43960838,0.064774192,16.4761,37.61845,2766.815,0,0.032958862,0
12,10,681361.6331,247412.9249,60.89372463,0.049354839,16.48915,37.5147,2770.755,0,0.043101609,0
13,10,681349.1079,247427.5231,59.31410275,0.048225806,16.1937,37.5812,3053.775,0,0.037890707,0
14,10,681337.5862,247446.0639,58.72503338,0.067516128,16.0378,37.71825,3352.95,0,0.060919269,0
15,10,681329.2596,247463.8701,60.77867813,0.054258064,15.723,38.4647,3858.71,1,0.052623362,1
16,10,681315.6588,247483.4758,57.50936298,0.054903226,15.391,39.60165,3048.66,0,0.037015974,0
17,10,681306.5601,247497.0092,59.64068794,0.044903226,15.169,40.1819,2714.375,1,0.065491609,1
18,10,681303.3533,247517.8694,57.87112026,0.056870967,15.03355,40.4783,2913.455,0,0.032629806,0
19,10,681294.5084,247543.1927,56.48684254,0.051999999,14.9648,41.1297,3027.365,2,0.055237782,1
20,10,681286.2576,247563.7613,54.11184254,0.056451612,14.9192,41.04675,3251.655,3,0.055237782,1
21,10,681286.1474,247582.8108,53.93256569,0.062290323,14.864,40.90545,2999.78,7,0.281262966,1
22,10,681290.4881,247599.5122,55.64802685,0.050903224,14.72295,41.21705,3701.815,0,0.057583373,0
23,10,681288.1844,247606.8564,58.84176846,0.054064516,14.5434,42.1345,2624.11,0,0.06074052,0
24,10,681290.6526,247603.1282,59.46786461,0.05867742,14.5518,41.9485,2202.715,0,0.031445548,0
25,10,681304.6084,247592.4969,55.29769745,0.055322578,14.529,41.74305,2424.255,12,0.473087314,1
26,10,681313.3121,247585.7223,53.1875,0.064580643,14.4032,41.876,2890.185,2,0.047405056,1
