@relation .a/eda_smooth_ml/eda_smooth_ml
@attribute Sound real [46.22267342, 79.2527832]
@attribute Dust real [0.02916129, 0.39787096]
@attribute TempEN real [10.521, 26.891]
@attribute RH real [17.24, 60.8856]
@attribute Light real [287.76, 32280.1]
@attribute EDA_label {LOW, NORM, HIGH}
@inputs Sound, Dust, TempEN, RH, Light
@outputs EDA_label
@data
46.78002625, 0.147096771, 16.4108, 24.187, 1625.64, LOW
56.97368469, 0.078645163, 18.4092, 33.9718, 2805.84, NORM
57.62753143, 0.042129032, 14.05, 44.343, 1412.0, NORM
64.79853363, 0.074709674, 13.9396, 45.5078, 1413.56, NORM
63.90598272, 0.043526881, 14.0932, 45.6958, 1836.12, NORM
62.0614048, 0.058645161, 14.6778, 42.9366, 3136.94, NORM
56.64035174, 0.039053763, 14.5626, 42.3284, 4057.74, NORM
56.50000076, 0.040129033, 14.5242, 42.1526, 3766.1, NORM
56.63157845, 0.060838712, 14.2228, 43.5644, 1225.94, NORM
55.97368317, 0.062193546, 14.0068, 43.3246, 1965.44, NORM
64.61813278, 0.072903225, 13.7956, 44.2116, 1935.46, NORM
60.61451721, 0.097161287, 13.858, 43.9552, 1703.7, NORM
59.8522274, 0.052258062, 13.8628, 43.7356, 1851.92, NORM
61.7948719, 0.043548386, 13.4298, 44.7694, 2529.92, NORM
57.31579068, 0.044946238, 12.7462, 46.754, 2290.22, NORM
61.2624855, 0.059483872, 12.896, 46.1454, 3103.82, NORM
62.96153717, 0.066967742, 13.1072, 45.7544, 2753.8, LOW
68.3615387, 0.054258065, 13.0112, 46.5328, 2665.5, NORM
62.30769348, 0.048, 13.0304, 46.529, 2766.42, NORM
60.33040975, 0.041015054, 12.9824, 46.15, 2097.86, NORM
61.34523811, 0.050451613, 12.654, 46.2952, 834.88, NORM
60.54151962, 0.08404301, 12.5628, 46.8552, 3382.92, NORM
62.48717804, 0.070967745, 12.5388, 47.3544, 992.58, NORM
59.31241493, 0.043032257, 12.654, 47.697, 1167.6, NORM
62.20512733, 0.053612902, 12.683, 46.6532, 975.22, NORM
62.0384613, 0.053290321, 19.579, 29.3332, 558.96, LOW
61.38056717, 0.050967742, 18.5426, 30.9822, 601.54, HIGH
60.09919128, 0.041290323, 18.176, 31.7906, 655.14, LOW
62.26495743, 0.035741936, 18.0146, 31.5054, 885.36, LOW
59.85829887, 0.105290325, 17.1724, 32.925, 681.94, HIGH
58.07759705, 0.041032258, 17.0156, 33.3696, 633.06, HIGH
61.61538544, 0.041032258, 15.7192, 36.8948, 762.36, HIGH
62.65384521, 0.038451613, 15.6664, 37.0382, 853.82, LOW
59.91272964, 0.071053764, 15.28, 38.3248, 341.4, LOW
56.8939785, 0.040361289, 15.0076, 37.731, 751.32, HIGH
65.49999847, 0.104258059, 14.2948, 39.5072, 560.54, LOW
62.29914449, 0.055311828, 14.0596, 40.482, 470.68, LOW
61.87561849, 0.08092473, 13.882, 40.6466, 595.22, HIGH
56.96491216, 0.067053765, 13.281, 42.8802, 451.72, LOW
62.57692299, 0.039741936, 13.127, 43.0636, 588.9, LOW
63.61477178, 0.042344086, 12.968, 43.6792, 614.14, LOW
62.10931129, 0.05896774, 12.9152, 43.4156, 656.72, LOW
57.13562737, 0.043354839, 12.871, 43.8372, 759.18, LOW
63.16666756, 0.055935485, 12.871, 43.6804, 577.88, HIGH
63.85897522, 0.073677421, 12.8662, 43.987, 625.18, LOW
61.68331032, 0.075118281, 12.871, 44.1692, 443.84, LOW
64.84249115, 0.044645161, 12.896, 43.9154, 445.4, LOW
55.52631607, 0.049032256, 16.2916, 39.3576, 3252.08, NORM
62.32051201, 0.082903223, 15.7144, 40.78, 2755.38, LOW
65.07021027, 0.240172035, 14.4762, 44.0042, 3791.3, NORM
59.89878464, 0.051741936, 12.582, 49.1748, 4281.66, NORM
58.18421059, 0.045354838, 12.389, 49.9108, 2633.98, NORM
60.94736786, 0.038645161, 12.389, 49.8618, 1918.1, NORM
62.44444555, 0.053892473, 11.8416, 51.9068, 3023.42, NORM
66.59096527, 0.031440859, 11.5112, 54.0704, 3419.2, NORM
53.45888176, 0.042387094, 11.404, 53.6206, 4008.88, NORM
56.17543818, 0.030193548, 10.9752, 55.0082, 4745.22, NORM
61.7692318, 0.038387097, 10.907, 55.244, 2224.0, NORM
55.39473648, 0.030503225, 10.858, 55.339, 2228.74, NORM
57.93859749, 0.049376343, 10.834, 55.497, 2466.8, LOW
59.57354965, 0.035096775, 10.761, 56.042, 2802.68, NORM
57.01754303, 0.030661289, 10.7312, 56.0312, 3633.64, LOW
61.5384613, 0.035354837, 10.761, 55.976, 3384.5, NORM
59.50877151, 0.040064516, 10.761, 55.9166, 3740.84, LOW
58.22807058, 0.031354838, 10.692, 56.2168, 2684.42, NORM
56.07017543, 0.033978495, 10.712, 56.661, 2916.22, NORM
58.83400803, 0.03683871, 10.702, 56.1164, 2261.84, LOW
60.29419607, 0.032946237, 10.6284, 56.5352, 3933.22, NORM
59.67071533, 0.034735484, 10.565, 56.8292, 1738.36, LOW
57.31578903, 0.038903225, 17.2202, 39.0386, 3170.04, NORM
62.04273554, 0.040688173, 14.8832, 44.714, 4276.94, LOW
64.42124557, 0.03651613, 15.1846, 44.8262, 4335.3, NORM
59.73625793, 0.047096773, 15.2608, 44.1926, 4218.6, NORM
60.40958138, 0.141548388, 14.9024, 44.326, 7086.7, NORM
56.71929906, 0.034589248, 13.8148, 46.3294, 4660.12, NORM
57.62483215, 0.062399999, 13.714, 47.3748, 3190.58, NORM
52.50568182, 0.035612904, 13.6324, 46.7176, 3099.12, NORM
60.84142952, 0.03567742, 12.9056, 48.0326, 6801.32, NORM
61.30769234, 0.032258063, 12.8182, 47.8604, 7138.76, NORM
59.97908363, 0.032541936, 12.6204, 49.1738, 4042.0, NORM
56.71435038, 0.035741935, 12.606, 49.6702, 3504.32, NORM
58.68758469, 0.03348387, 12.606, 49.6824, 3575.28, NORM
55.65263153, 0.037367741, 17.4626, 34.42, 2048.98, HIGH
60.50000038, 0.045806451, 16.401, 37.4622, 2906.76, NORM
57.46153819, 0.090193546, 16.0628, 37.6854, 3422.32, NORM
62.32928467, 0.046322581, 15.7768, 38.403, 3907.98, NORM
59.34210587, 0.057096773, 15.6764, 38.5082, 4130.3, NORM
58.15789528, 0.046645162, 15.1222, 40.2486, 2941.42, NORM
53.875, 0.062838708, 14.8688, 40.9472, 3225.26, NORM
56.26315842, 0.052903224, 14.8256, 40.9108, 2395.88, LOW
63.20512924, 0.074580647, 14.5722, 41.9048, 2228.74, NORM
54.98684158, 0.0667957, 14.026, 43.1316, 4567.08, NORM
59.58231964, 0.048967743, 13.8196, 44.3088, 4794.1, NORM
59.24561348, 0.053182794, 13.8244, 44.2214, 4822.48, LOW
57.5526329, 0.04916129, 13.8484, 44.1552, 4308.48, NORM
56.82456156, 0.038193549, 13.8004, 43.9172, 2129.4, LOW
61.62820549, 0.041741935, 13.594, 44.7078, 4327.4, NORM
61.97435913, 0.049548386, 13.5316, 44.9756, 3874.88, NORM
61.84345462, 0.053440859, 13.4922, 45.09, 2816.86, NORM
55.56140442, 0.036731183, 13.4442, 45.197, 3824.42, NORM
60.114711, 0.045075268, 13.3962, 44.7966, 3444.4, NORM
55.240131, 0.053870968, 13.3626, 45.2432, 3805.48, NORM
55.87499924, 0.034709678, 13.353, 45.1916, 2894.16, NORM
57.23684273, 0.042774193, 13.2378, 44.8774, 2996.64, LOW
61.97435799, 0.062064516, 13.1122, 44.9246, 3365.58, NORM
62.90598246, 0.107311829, 12.9824, 45.9072, 2328.08, NORM
57.88596484, 0.077376345, 12.968, 46.2412, 1985.94, HIGH
63.29059881, 0.058451611, 13.0112, 46.1908, 2849.96, NORM
59.80139414, 0.038473117, 12.8662, 46.1418, 2085.26, LOW
61.29352226, 0.05948387, 12.799, 46.587, 1443.52, HIGH
60.59986534, 0.098967738, 12.8134, 46.6384, 1412.0, LOW
56.38124161, 0.07845161, 12.7174, 46.5768, 3006.08, NORM
56.20526408, 0.048688171, 12.698, 46.3504, 3226.8, NORM
61.53846169, 0.040709677, 12.3888, 47.8358, 2149.9, NORM
61.79487152, 0.068709677, 12.413, 47.7274, 1158.12, NORM
58.05555547, 0.054172043, 12.2726, 47.9934, 1169.14, LOW
63.92307846, 0.044451612, 17.1578, 36.1446, 2268.14, LOW
63.12820625, 0.043612903, 17.1012, 36.23, 2763.26, LOW
58.71929906, 0.056817206, 16.8488, 36.6526, 2834.24, NORM
56.79166679, 0.037913978, 16.5582, 37.1998, 2406.92, NORM
59.23616689, 0.088903225, 15.9768, 38.855, 2775.86, NORM
59.09851507, 0.042589247, 14.457, 42.5944, 1967.0, NORM
59.53103905, 0.060903224, 14.3324, 42.9152, 1932.3, NORM
57.88866539, 0.114129035, 13.6804, 44.9376, 1397.78, NORM
57.13157883, 0.036774193, 13.257, 45.7482, 4368.4, NORM
57.07017644, 0.04404301, 13.0784, 46.4796, 3245.76, NORM
54.7710527, 0.03367742, 12.799, 46.9786, 3780.26, NORM
54.71381569, 0.035290323, 12.7462, 46.7664, 3646.24, NORM
57.35492706, 0.063225808, 12.7942, 46.1266, 3021.86, NORM
63.16003291, 0.035053764, 12.799, 46.4692, 1870.82, NORM
61.46153946, 0.040903225, 12.678, 46.323, 2574.06, NORM
62.71794764, 0.045892471, 12.2822, 48.4512, 2458.92, NORM
61.48717957, 0.054838711, 12.413, 47.7088, 2080.52, NORM
60.42307663, 0.042129032, 12.4178, 47.5366, 2479.44, NORM
57.08070119, 0.03836559, 12.384, 47.699, 2520.44, LOW
60.70107918, 0.033612905, 12.384, 47.538, 2438.44, NORM
57.0519558, 0.073225808, 12.413, 47.4432, 3956.86, NORM
58.94736811, 0.046107527, 12.437, 46.9254, 1214.88, NORM
59.56275152, 0.056430106, 12.4418, 47.0252, 3395.54, NORM
65.76434937, 0.073548384, 12.3592, 47.8074, 1683.2, NORM
60.05735512, 0.098645157, 12.4466, 47.2056, 3482.26, NORM
63.64957275, 0.043053763, 12.389, 46.4978, 2752.22, NORM
61.11782633, 0.077204299, 12.379, 46.6454, 2247.66, NORM
64.00732638, 0.032430108, 12.292, 45.684, 3893.78, NORM
64.38339488, 0.033548386, 12.171, 46.445, 1503.44, NORM
60.64867401, 0.072559136, 17.3296, 53.5924, 28264.1, LOW
59.52091904, 0.110580645, 17.4294, 53.1078, 32280.1, LOW
63.17948685, 0.040709676, 18.3804, 49.3364, 5976.7, HIGH
54.0, 0.050752685, 17.7672, 51.9004, 3244.18, LOW
58.30526291, 0.039225807, 17.6576, 52.7082, 3269.4, LOW
63.24786173, 0.053720429, 17.4578, 53.2412, 3885.9, LOW
60.79082413, 0.037032259, 17.1106, 54.7944, 6112.26, LOW
56.07017644, 0.03711828, 16.8296, 56.9604, 2542.5, LOW
60.73414243, 0.051677418, 16.844, 56.4764, 4327.4, LOW
61.00000076, 0.040387097, 16.8344, 56.2436, 3182.68, LOW
60.70287819, 0.121204299, 16.7634, 56.3608, 5101.58, NORM
63.01317546, 0.069118281, 16.7914, 56.3954, 6284.14, LOW
55.76585709, 0.038344086, 16.582, 55.359, 1714.72, LOW
58.54504073, 0.03939785, 16.558, 55.343, 1750.98, LOW
63.75282125, 0.040172044, 16.1818, 56.6922, 3879.6, LOW
64.10256577, 0.04516129, 15.9388, 56.2242, 2518.88, LOW
59.8830424, 0.044438708, 16.1104, 56.0254, 5066.88, LOW
58.26315816, 0.039741934, 16.177, 56.2848, 5259.26, LOW
64.88154246, 0.03595699, 16.7202, 53.53, 3433.38, LOW
61.82905986, 0.058967741, 16.6442, 53.9974, 3907.96, LOW
64.6007309, 0.048602149, 16.534, 55.437, 5516.28, LOW
60.41655375, 0.042580644, 16.4822, 55.4296, 3810.2, NORM
63.47863185, 0.035698925, 16.272, 54.501, 4368.4, LOW
63.68376261, 0.036731183, 16.9582, 52.77, 4923.4, LOW
59.87719269, 0.038709676, 16.8964, 52.7118, 8324.46, NORM
62.83333359, 0.048580645, 17.106, 52.7414, 2580.34, LOW
62.90598175, 0.046838709, 23.328, 29.6684, 2468.42, LOW
63.75640869, 0.060838708, 22.9488, 30.0676, 1091.92, NORM
54.60526276, 0.047870966, 22.7002, 31.1334, 1307.92, LOW
66.05586243, 0.042258062, 21.9438, 32.6164, 2861.04, LOW
66.03541082, 0.043698925, 21.0272, 34.6266, 3133.8, LOW
67.56410141, 0.058129032, 21.1702, 34.5938, 3207.9, LOW
60.3903038, 0.039612902, 21.127, 34.431, 1210.14, LOW
59.50783234, 0.04335484, 21.0558, 34.3912, 953.14, NORM
60.20782661, 0.042516128, 21.0416, 34.4096, 781.28, LOW
55.18092041, 0.043612904, 20.9552, 34.4212, 738.68, HIGH
52.93503294, 0.047956988, 21.0224, 34.4542, 730.8, HIGH
61.86813126, 0.041870969, 21.0462, 34.364, 940.52, HIGH
57.92982457, 0.03892473, 20.9456, 34.163, 1602.76, LOW
61.41497917, 0.042709676, 20.8506, 35.5324, 1282.68, LOW
58.70400492, 0.039913979, 20.9408, 35.4092, 1273.2, HIGH
54.625, 0.044838708, 20.9696, 36.359, 1476.62, LOW
57.57631546, 0.051935482, 20.9984, 36.926, 1662.68, LOW
59.94736862, 0.054, 21.056, 36.2228, 1210.16, LOW
61.70085373, 0.079569891, 21.056, 35.6378, 1533.42, LOW
60.32118607, 0.050322582, 21.0746, 35.297, 2364.34, LOW
58.69815547, 0.046451611, 21.199, 35.2168, 2282.34, HIGH
57.99955037, 0.049075269, 21.1894, 34.7276, 2253.96, HIGH
62.15384521, 0.041225807, 21.3276, 34.741, 1289.0, HIGH
70.11236114, 0.041225805, 21.366, 35.51, 1763.6, LOW
53.98026352, 0.049677417, 21.1654, 34.1966, 4667.96, LOW
69.01721725, 0.040129033, 21.175, 35.2012, 3025.0, LOW
64.53571281, 0.048903226, 21.175, 36.1492, 4100.34, LOW
70.2687851, 0.045548387, 22.202, 32.5128, 5006.98, LOW
70.29811859, 0.065118277, 22.3546, 32.2198, 3395.54, LOW
68.47142944, 0.055741933, 22.5178, 32.761, 3225.26, LOW
70.00841141, 0.044645159, 22.3356, 33.011, 3282.02, LOW
63.10073242, 0.073677419, 22.4506, 32.9884, 3031.32, HIGH
61.33063583, 0.097419352, 22.7242, 32.6794, 2105.78, LOW
62.79487152, 0.068903227, 22.4218, 31.4242, 1388.34, LOW
59.96828613, 0.041935483, 17.1486, 42.3842, 1129.74, NORM
60.01416931, 0.054354835, 16.5062, 44.1206, 1352.06, NORM
58.87674255, 0.043999998, 16.1722, 44.3904, 8447.44, NORM
61.47435913, 0.063161292, 16.263, 44.9446, 8928.36, NORM
59.23009453, 0.054387094, 16.7298, 44.6346, 9164.86, NORM
60.79303958, 0.04255914, 17.71, 42.7486, 1599.62, LOW
59.36234779, 0.041935484, 17.5864, 42.2686, 1066.68, NORM
53.4375, 0.04116129, 17.677, 42.196, 614.16, NORM
53.375, 0.039870966, 17.7194, 41.8942, 612.58, NORM
59.87584267, 0.048451612, 17.4816, 41.969, 1087.16, NORM
58.76045799, 0.039870967, 17.0772, 43.7952, 954.72, NORM
58.052631, 0.039290322, 16.7966, 45.943, 1768.32, NORM
56.3421051, 0.041419355, 16.987, 44.0446, 3129.06, NORM
61.86289001, 0.043440859, 16.8726, 43.5934, 4377.86, NORM
60.38349063, 0.055827957, 16.682, 44.4834, 4313.18, NORM
61.48717842, 0.041548386, 16.7538, 45.7804, 4075.12, NORM
58.9433197, 0.038451613, 16.8632, 44.8024, 4092.46, NORM
58.76833127, 0.039462365, 16.7106, 44.86, 1773.06, NORM
60.25595996, 0.039903225, 16.8104, 44.4734, 1033.58, NORM
61.76068242, 0.042322581, 16.6396, 45.5772, 1113.96, NORM
55.36842155, 0.061096772, 16.4058, 47.3204, 1014.64, NORM
56.17763252, 0.039815666, 15.9246, 46.8332, 6467.04, NORM
59.54251022, 0.039432257, 15.8528, 46.9368, 7143.48, NORM
61.9871788, 0.038451612, 15.39, 48.494, 7678.0, NORM
55.34868469, 0.040412902, 16.034, 47.942, 8007.56, NORM
64.95054855, 0.041999999, 16.6726, 45.7324, 7741.06, NORM
63.51282043, 0.042400001, 16.8392, 45.5324, 7127.68, NORM
64.0757019, 0.041548385, 17.2676, 44.6742, 6892.78, NORM
62.64102631, 0.045612903, 18.1666, 42.0084, 1334.7, LOW
62.73076897, 0.039612902, 17.1008, 43.2196, 1930.74, NORM
62.29374695, 0.048989245, 16.6868, 43.6092, 1508.14, NORM
60.36797155, 0.040430106, 16.277, 44.8008, 1104.52, NORM
60.36167374, 0.040064514, 15.972, 46.9956, 2730.14, LOW
57.9113252, 0.040619354, 16.2154, 46.6752, 2835.78, NORM
66.6772789, 0.040795699, 16.1722, 46.5258, 2815.28, LOW
64.0512825, 0.076129032, 16.3868, 45.3254, 3111.7, NORM
61.81196645, 0.048064516, 16.6298, 45.1722, 6047.64, NORM
64.06410217, 0.040154838, 17.4482, 43.3812, 6525.4, NORM
67.75000229, 0.046000001, 17.4484, 43.2158, 6567.98, NORM
66.66666565, 0.043354838, 17.5388, 43.0672, 6544.3, NORM
67.00661367, 0.043032257, 17.7008, 42.2692, 6793.44, NORM
